course,min_faculty,max_faculty,title
ENGRI-1120,2,2,"Feast! Chemical and Biomolecular Processes and Products through Food"
ENGRD-2190,1,1,Chemical Process Design and Analysis
CHEME-2880,1,1,Biomolecular Engineering: Fundamentals and Applications
CHEME-3130,1,1,Chemical Engineering Thermodynamics
CHEME-3240,1,1,Heat and Mass Transfer
CHEME-4320,3,3,Chemical Engineering Capstone Design I
CHEME-5310,0,1,Principles of Electrochemical Engineering
CHEME-6110,1,1,Mathematical Methods of Chemical Engineering Analysis
CHEME-6230,1,1,Transport Phenomena for Chemical and Biomolecular Engineering
CHEME-6310,0,1,Engineering Principles for Drug Delivery
CHEME-6440,0,1,Colloids and Aerosols
CHEME-6800,0,1,Computational Optimization
